Test,Size,Mode,Run,ElapsedMs
heavySqrt,1000000,LINQ,1,920
heavySqrt,1000000,LINQ,2,903
heavySqrt,1000000,LINQ,3,898
heavySqrt,1000000,PLINQ,1,167
heavySqrt,1000000,PLINQ,2,131
heavySqrt,1000000,PLINQ,3,108
primeLike,1000000,LINQ,1,5115
primeLike,1000000,LINQ,2,5070
primeLike,1000000,LINQ,3,5074
primeLike,1000000,PLINQ,1,642
primeLike,1000000,PLINQ,2,648
primeLike,1000000,PLINQ,3,642
heavySqrt,5000000,LINQ,1,4530
heavySqrt,5000000,LINQ,2,4648
heavySqrt,5000000,LINQ,3,4519
heavySqrt,5000000,PLINQ,1,366
heavySqrt,5000000,PLINQ,2,405
heavySqrt,5000000,PLINQ,3,445
primeLike,5000000,LINQ,1,25353
primeLike,5000000,LINQ,2,25340
primeLike,5000000,LINQ,3,25270
primeLike,5000000,PLINQ,1,3155
primeLike,5000000,PLINQ,2,3299
primeLike,5000000,PLINQ,3,3309
heavySqrt,10000000,LINQ,1,8985
heavySqrt,10000000,LINQ,2,8967
heavySqrt,10000000,LINQ,3,9006
heavySqrt,10000000,PLINQ,1,832
heavySqrt,10000000,PLINQ,2,829
heavySqrt,10000000,PLINQ,3,758
primeLike,10000000,LINQ,1,50495
primeLike,10000000,LINQ,2,50172
primeLike,10000000,LINQ,3,50517
primeLike,10000000,PLINQ,1,6771
primeLike,10000000,PLINQ,2,6936
primeLike,10000000,PLINQ,3,6674
